type,date_or_id,title,summary
"top10","2026-10-04","Belgium's most career goals (current squads)","1.Leandro Trossard(116 goals) | 2.Kevin De Bruyne(115 goals) | 3.Thorgan Hazard(80 goals) | 4.Charles De Ketelaere(70 goals) | 5.Youri Tielemans(57 goals) | 6.Johan Bakayoko(48 goals) | 7.Alexis Saelemaekers(29 goals) | 8.Mika Godts(26 goals) | 9.Jérémy Doku(22 goals) | 10.Malick Fofana(20 goals)"
"top10","2026-10-05","Forwards' most career goals (current squads)","1.Cristiano Ronaldo(740 goals) | 2.Lionel Messi(735 goals) | 3.Robert Lewandowski(660 goals) | 4.Neymar(440 goals) | 5.Luis Suárez(426 goals) | 6.Karim Benzema(380 goals) | 7.Edinson Cavani(377 goals) | 8.Pierre-Emerick Aubameyang(374 goals) | 9.Harry Kane(370 goals) | 10.Kylian Mbappé(350 goals)"
"top10","2026-10-06","Portugal's highest market values (current squads)","1.Vitinha(€130.0M) | 2.Rafael Leão(€80.0M) | 3.Nuno Mendes(€77.0M) | 4.João Neves(€74.0M) | 5.Rúben Dias(€70.0M) | 6.Bernardo Silva(€65.0M) | 7.Pedro Neto(€60.0M) | 8.Gonçalo Ramos(€55.0M) | 9.Bruno Fernandes(€50.0M) | 10.Matheus Nunes(€43.0M)"
"top10","2026-10-07","Croatia's most career goals (current squads)","1.Andrej Kramarić(231 goals) | 2.Nikola Vlašić(88 goals) | 3.Mario Pašalić(76 goals) | 4.Luka Modrić(50 goals) | 5.Lovro Majer(44 goals) | 6.Marin Ljubičić(32 goals) | 7.Mateo Kovačić(31 goals) | 8.Nikola Moro(24 goals) | 9.Martin Baturina(23 goals) | 10.Igor Matanović(22 goals)"
"top10","2026-10-08","France's most career goals (current squads)","1.Karim Benzema(380 goals) | 2.Kylian Mbappé(350 goals) | 3.Antoine Griezmann(280 goals) | 4.Jean-Philippe Mateta(140 goals) | 5.Christopher Nkunku(128 goals) | 6.Odsonne Édouard(122 goals) | 7.Marcus Thuram(112 goals) | 8.Ousmane Dembélé(110 goals) | 9.Ludovic Ajorque(104 goals) | 10.Randal Kolo Muani(75 goals)"
"top10","2026-10-09","Spain's most career assists (current squads)","1.Pedro(111 assists) | 2.Alejandro Grimaldo(103 assists) | 3.Mikel Merino(79 assists) | 4.Mikel Oyarzabal(76 assists) | 5.Lucas Vázquez(68 assists) | 6.Isco(60 assists) | 7.Dani Olmo(45 assists) | 8.Sergio Ramos(45 assists) | 9.Álex Berenguer(45 assists) | 10.Ferran Torres(43 assists)"
"top10","2026-10-10","Goalkeepers' highest market values (current squads)","1.Lucas Chevalier(€54.0M) | 2.Gianluigi Donnarumma(€42.0M) | 3.Gregor Kobel(€38.6M) | 4.Bart Verbruggen(€38.0M) | 5.Mile Svilar(€37.0M) | 6.David Raya(€34.0M) | 7.James Trafford(€30.0M) | 8.Giorgi Mamardashvili(€27.0M) | 9.Jordan Pickford(€25.0M) | 10.Mike Maignan(€23.8M)"
"top10","2026-10-11","Italy's highest market values (current squads)","1.Alessandro Bastoni(€75.0M) | 2.Nicolò Barella(€58.0M) | 3.Riccardo Calafiori(€50.0M) | 4.Federico Dimarco(€49.0M) | 5.Destiny Udogie(€47.0M) | 6.Gianluigi Donnarumma(€42.0M) | 7.Giorgio Scalvini(€40.0M) | 8.Davide Frattesi(€39.0M) | 9.Andrea Cambiaso(€35.0M) | 10.Moise Kean(€30.0M)"
"top10","2026-10-12","Netherlands' highest market values (current squads)","1.Ryan Gravenberch(€95.0M) | 2.Jurriën Timber(€75.0M) | 3.Micky van de Ven(€70.0M) | 4.Cody Gakpo(€66.0M) | 5.Frenkie de Jong(€44.7M) | 6.Jorrel Hato(€40.0M) | 7.Matthijs de Ligt(€40.0M) | 8.Bart Verbruggen(€38.0M) | 9.Sven Botman(€36.0M) | 10.Jeremie Frimpong(€34.0M)"
"top10","2026-10-13","Netherlands' most career goals (current squads)","1.Zian Flemming(103 goals) | 2.Brian Brobbey(92 goals) | 3.Teun Koopmeiners(89 goals) | 4.Thijs Dallinga(85 goals) | 5.Cody Gakpo(84 goals) | 6.Martijn Kaars(84 goals) | 7.Justin Kluivert(72 goals) | 8.Joshua Zirkzee(58 goals) | 9.Jurgen Ekkelenkamp(53 goals) | 10.Crysencio Summerville(50 goals)"
"top10","2026-10-14","Midfielders' most career assists (current squads)","1.Thomas Müller(244 assists) | 2.Ángel Di María(222 assists) | 3.Kevin De Bruyne(215 assists) | 4.Bruno Fernandes(181 assists) | 5.Marco Reus(150 assists) | 6.Joshua Kimmich(130 assists) | 7.Hakan Çalhanoğlu(122 assists) | 8.Bernardo Silva(106 assists) | 9.Mario Götze(105 assists) | 10.Jack Grealish(92 assists)"
"top10","2026-10-15","Netherlands' most career assists (current squads)","1.Cody Gakpo(56 assists) | 2.Branco van den Boomen(45 assists) | 3.Teun Koopmeiners(40 assists) | 4.Ryan Gravenberch(40 assists) | 5.Justin Kluivert(40 assists) | 6.Jeremie Frimpong(31 assists) | 7.Brian Brobbey(31 assists) | 8.Crysencio Summerville(30 assists) | 9.Frenkie de Jong(29 assists) | 10.Zian Flemming(27 assists)"
"top10","2026-10-16","Italy's most career goals (current squads)","1.Domenico Berardi(146 goals) | 2.Vincenzo Grifo(112 goals) | 3.Stephan El Shaarawy(112 goals) | 4.Moise Kean(92 goals) | 5.Federico Bernardeschi(84 goals) | 6.Federico Chiesa(80 goals) | 7.Riccardo Orsolini(80 goals) | 8.Matteo Politano(75 goals) | 9.Gianluca Scamacca(62 goals) | 10.Lorenzo Pellegrini(48 goals)"
"top10","2026-10-17","Spain's most career goals (current squads)","1.Gerard Moreno(143 goals) | 2.Mikel Oyarzabal(130 goals) | 3.Ferran Torres(122 goals) | 4.Pedro(119 goals) | 5.Sergio Ramos(109 goals) | 6.Ayoze Pérez(103 goals) | 7.Gorka Guruzeta(75 goals) | 8.Isco(68 goals) | 9.Hugo Duro(67 goals) | 10.Alejandro Grimaldo(63 goals)"
"top10","2026-10-18","Croatia's most career assists (current squads)","1.Luka Modrić(90 assists) | 2.Andrej Kramarić(74 assists) | 3.Nikola Vlašić(48 assists) | 4.Mateo Kovačić(41 assists) | 5.Mario Pašalić(34 assists) | 6.Martin Baturina(29 assists) | 7.Lovro Majer(23 assists) | 8.Josip Juranović(20 assists) | 9.Josip Stanišić(18 assists) | 10.Igor Matanović(14 assists)"
"top10","2026-10-19","Defenders' most career assists (current squads)","1.Alejandro Grimaldo(103 assists) | 2.Christopher Trimmel(96 assists) | 3.Trent Alexander-Arnold(95 assists) | 4.Raphaël Guerreiro(75 assists) | 5.Achraf Hakimi(70 assists) | 6.Lucas Vázquez(68 assists) | 7.Matty Cash(59 assists) | 8.David Raum(49 assists) | 9.Giovanni Di Lorenzo(48 assists) | 10.Mitchell Weiser(48 assists)"
"top10","2026-10-20","Argentina's most career assists (current squads)","1.Lionel Messi(352 assists) | 2.Ángel Di María(222 assists) | 3.Paulo Dybala(89 assists) | 4.Lautaro Martínez(50 assists) | 5.Julián Álvarez(50 assists) | 6.Thiago Almada(37 assists) | 7.Nicolás Tagliafico(34 assists) | 8.Nicolás González(33 assists) | 9.Giovanni Simeone(31 assists) | 10.Alexis Mac Allister(30 assists)"
"top10","2026-10-21","Italy's most career assists (current squads)","1.Vincenzo Grifo(85 assists) | 2.Domenico Berardi(84 assists) | 3.Stephan El Shaarawy(53 assists) | 4.Federico Bernardeschi(52 assists) | 5.Nicolò Barella(50 assists) | 6.Giovanni Di Lorenzo(48 assists) | 7.Federico Chiesa(47 assists) | 8.Matteo Politano(46 assists) | 9.Federico Dimarco(45 assists) | 10.Lorenzo Pellegrini(43 assists)"
"top10","2026-10-22","France's highest market values (current squads)","1.Kylian Mbappé(€180.0M) | 2.Michael Olise(€154.9M) | 3.Désiré Doué(€90.6M) | 4.Bradley Barcola(€90.0M) | 5.William Saliba(€90.0M) | 6.Eduardo Camavinga(€90.0M) | 7.Hugo Ekitike(€85.0M) | 8.Ousmane Dembélé(€80.0M) | 9.Aurélien Tchouaméni(€70.0M) | 10.Leny Yoro(€65.0M)"
"top10","2026-10-23","Argentina's most career goals (current squads)","1.Lionel Messi(735 goals) | 2.Ángel Di María(195 goals) | 3.Paulo Dybala(184 goals) | 4.Lautaro Martínez(175 goals) | 5.Julián Álvarez(110 goals) | 6.Giovanni Simeone(95 goals) | 7.Nicolás González(85 goals) | 8.Joaquín Panichelli(53 goals) | 9.Thiago Almada(40 goals) | 10.Alexis Mac Allister(35 goals)"
"top10","2026-10-24","Belgium's most career assists (current squads)","1.Kevin De Bruyne(215 assists) | 2.Leandro Trossard(70 assists) | 3.Thorgan Hazard(65 assists) | 4.Youri Tielemans(56 assists) | 5.Charles De Ketelaere(55 assists) | 6.Alexis Saelemaekers(36 assists) | 7.Jérémy Doku(33 assists) | 8.Johan Bakayoko(28 assists) | 9.Mika Godts(28 assists) | 10.Senne Lynen(16 assists)"
"top10","2026-10-25","Defenders' highest market values (current squads)","1.Pau Cubarsí(€108.6M) | 2.William Saliba(€90.0M) | 3.Nuno Mendes(€77.0M) | 4.Willian Pacho(€76.0M) | 5.Alessandro Bastoni(€75.0M) | 6.Gabriel Magalhães(€75.0M) | 7.Jurriën Timber(€75.0M) | 8.Rúben Dias(€70.0M) | 9.Joško Gvardiol(€70.0M) | 10.Micky van de Ven(€70.0M)"
"top10","2026-10-26","Forwards' highest market values (current squads)","1.Lamine Yamal(€200.0M) | 2.Kylian Mbappé(€180.0M) | 3.Erling Haaland(€180.0M) | 4.Michael Olise(€154.9M) | 5.Vinícius Júnior(€150.0M) | 6.Bukayo Saka(€150.0M) | 7.Alexander Isak(€130.0M) | 8.Désiré Doué(€90.6M) | 9.Khvicha Kvaratskhelia(€90.0M) | 10.Lautaro Martínez(€90.0M)"
"top10","2026-10-27","Germany's highest market values (current squads)","1.Florian Wirtz(€150.0M) | 2.Jamal Musiala(€130.0M) | 3.Kai Havertz(€70.0M) | 4.Nick Woltemade(€64.0M) | 5.Aleksandar Pavlović(€63.6M) | 6.Felix Nmecha(€50.0M) | 7.Tom Bischof(€45.0M) | 8.Angelo Stiller(€45.0M) | 9.Malick Thiaw(€44.0M) | 10.Jonathan Tah(€40.2M)"
"top10","2026-10-28","France's most career assists (current squads)","1.Karim Benzema(180 assists) | 2.Kylian Mbappé(160 assists) | 3.Antoine Griezmann(130 assists) | 4.Ousmane Dembélé(95 assists) | 5.Michael Olise(73 assists) | 6.Paul Pogba(59 assists) | 7.Christopher Nkunku(56 assists) | 8.Adrien Thomasson(54 assists) | 9.Franck Honorat(51 assists) | 10.Odsonne Édouard(50 assists)"
"top10","2026-10-29","England's most career assists (current squads)","1.Trent Alexander-Arnold(95 assists) | 2.Bukayo Saka(94 assists) | 3.Jack Grealish(92 assists) | 4.Harry Kane(90 assists) | 5.Marcus Rashford(75 assists) | 6.Phil Foden(65 assists) | 7.Jarrod Bowen(56 assists) | 8.Jude Bellingham(55 assists) | 9.Morgan Gibbs-White(54 assists) | 10.Harvey Barnes(42 assists)"
"top10","2026-10-30","Spain's highest market values (current squads)","1.Lamine Yamal(€200.0M) | 2.Pedri(€120.0M) | 3.Pau Cubarsí(€108.6M) | 4.Rodri(€90.0M) | 5.Nico Williams(€80.0M) | 6.Gavi(€70.0M) | 7.Dean Huijsen(€69.5M) | 8.Pablo Barrios(€60.0M) | 9.Alejandro Balde(€59.9M) | 10.Álvaro Carreras(€58.7M)"
"top10","2026-10-31","Portugal's most career goals (current squads)","1.Cristiano Ronaldo(740 goals) | 2.Bruno Fernandes(132 goals) | 3.Bernardo Silva(116 goals) | 4.Rafael Leão(75 goals) | 5.Raphaël Guerreiro(72 goals) | 6.Gonçalo Ramos(65 goals) | 7.Gonçalo Guedes(59 goals) | 8.Fábio Silva(51 goals) | 9.Francisco Conceição(37 goals) | 10.João Palhinha(30 goals)"
"top10","2026-11-01","Global's most career assists (current squads)","1.Lionel Messi(352 assists) | 2.Thomas Müller(244 assists) | 3.Cristiano Ronaldo(230 assists) | 4.Neymar(230 assists) | 5.Ángel Di María(222 assists) | 6.Kevin De Bruyne(215 assists) | 7.Luis Suárez(188 assists) | 8.Bruno Fernandes(181 assists) | 9.Karim Benzema(180 assists) | 10.Robert Lewandowski(170 assists)"
"top10","2026-11-02","Denmark's highest market values (current squads)","1.Rasmus Højlund(€50.0M) | 2.Morten Hjulmand(€32.2M) | 3.Joachim Andersen(€30.0M) | 4.Mikkel Damsgaard(€28.0M) | 5.Daniel Svensson(€19.7M) | 6.Conrad Harder(€18.7M) | 7.Mathias Jensen(€16.0M) | 8.Gustav Isaksen(€15.9M) | 9.Mads Hermansen(€14.0M) | 10.Pierre-Emile Højbjerg(€12.0M)"
"top10","2026-11-03","Defenders' most career goals (current squads)","1.Sergio Ramos(109 goals) | 2.Raphaël Guerreiro(72 goals) | 3.Alejandro Grimaldo(63 goals) | 4.Przemysław Frankowski(55 goals) | 5.Christopher Trimmel(49 goals) | 6.Virgil van Dijk(45 goals) | 7.Achraf Hakimi(45 goals) | 8.Marquinhos(45 goals) | 9.Nemanja Gudelj(41 goals) | 10.Emre Can(40 goals)"
"top10","2026-11-04","Forwards' most career assists (current squads)","1.Lionel Messi(352 assists) | 2.Cristiano Ronaldo(230 assists) | 3.Neymar(230 assists) | 4.Luis Suárez(188 assists) | 5.Karim Benzema(180 assists) | 6.Robert Lewandowski(170 assists) | 7.Kylian Mbappé(160 assists) | 8.Mohamed Salah(130 assists) | 9.Antoine Griezmann(130 assists) | 10.Riyad Mahrez(130 assists)"
"top10","2026-11-05","Belgium's highest market values (current squads)","1.Jérémy Doku(€70.0M) | 2.Amadou Onana(€50.0M) | 3.Mika Godts(€45.0M) | 4.Charles De Ketelaere(€38.0M) | 5.Youri Tielemans(€38.0M) | 6.Malick Fofana(€31.0M) | 7.Johan Bakayoko(€30.0M) | 8.Koni De Winter(€23.0M) | 9.Alexis Saelemaekers(€22.5M) | 10.Leandro Trossard(€20.0M)"
"top10","2026-11-06","Brazil's most career assists (current squads)","1.Neymar(230 assists) | 2.Raphinha(89 assists) | 3.Vinícius Júnior(85 assists) | 4.Gabriel Jesus(74 assists) | 5.David Neres(65 assists) | 6.Bruno Guimarães(52 assists) | 7.Rodrygo(50 assists) | 8.Antony(42 assists) | 9.Igor Paixão(42 assists) | 10.Richarlison(40 assists)"
"top10","2026-11-07","Argentina's highest market values (current squads)","1.Lautaro Martínez(€90.0M) | 2.Julián Álvarez(€90.0M) | 3.Enzo Fernández(€80.0M) | 4.Alexis Mac Allister(€65.0M) | 5.Nico Paz(€60.0M) | 6.Giuliano Simeone(€43.9M) | 7.Lisandro Martínez(€39.0M) | 8.Santiago Castro(€33.3M) | 9.Matías Soulé(€32.0M) | 10.Joaquín Panichelli(€30.0M)"
"top10","2026-11-08","Global's highest market values (current squads)","1.Lamine Yamal(€200.0M) | 2.Kylian Mbappé(€180.0M) | 3.Erling Haaland(€180.0M) | 4.Jude Bellingham(€180.0M) | 5.Michael Olise(€154.9M) | 6.Vinícius Júnior(€150.0M) | 7.Florian Wirtz(€150.0M) | 8.Bukayo Saka(€150.0M) | 9.Alexander Isak(€130.0M) | 10.Jamal Musiala(€130.0M)"
"top10","2026-11-09","Portugal's most career assists (current squads)","1.Cristiano Ronaldo(230 assists) | 2.Bruno Fernandes(181 assists) | 3.Bernardo Silva(106 assists) | 4.Raphaël Guerreiro(75 assists) | 5.Rafael Leão(65 assists) | 6.Gonçalo Guedes(46 assists) | 7.Matheus Nunes(32 assists) | 8.Pedro Neto(32 assists) | 9.Fábio Silva(26 assists) | 10.Gonçalo Ramos(20 assists)"
"top10","2026-11-10","Brazil's most career goals (current squads)","1.Neymar(440 goals) | 2.Gabriel Jesus(161 goals) | 3.Raphinha(145 goals) | 4.Richarlison(126 goals) | 5.Vinícius Júnior(110 goals) | 6.David Neres(79 goals) | 7.Rodrygo(77 goals) | 8.Gabriel Martinelli(72 goals) | 9.Igor Thiago(71 goals) | 10.Matheus Cunha(66 goals)"
"top10","2026-11-11","Croatia's highest market values (current squads)","1.Joško Gvardiol(€70.0M) | 2.Martin Baturina(€30.0M) | 3.Petar Sučić(€29.8M) | 4.Josip Stanišić(€29.0M) | 5.Lovro Majer(€23.0M) | 6.Mateo Kovačić(€10.0M) | 7.Igor Matanović(€9.6M) | 8.Nikola Vlašić(€8.8M) | 9.Mario Pašalić(€7.0M) | 10.Marin Pongračić(€6.8M)"
"top10","2026-11-12","Germany's most career goals (current squads)","1.Thomas Müller(256 goals) | 2.Marco Reus(231 goals) | 3.Deniz Undav(182 goals) | 4.Leroy Sané(150 goals) | 5.Niclas Füllkrug(117 goals) | 6.Mario Götze(116 goals) | 7.Tim Kleindienst(116 goals) | 8.Kai Havertz(111 goals) | 9.Serge Gnabry(107 goals) | 10.Marius Bülter(98 goals)"
"top10","2026-11-13","Denmark's most career assists (current squads)","1.Christian Eriksen(86 assists) | 2.Mikkel Damsgaard(46 assists) | 3.Andreas Albers(40 assists) | 4.Joakim Mæhle(35 assists) | 5.Mathias Jensen(32 assists) | 6.Morten Hjulmand(24 assists) | 7.Daniel Svensson(22 assists) | 8.Pierre-Emile Højbjerg(21 assists) | 9.Jens Stage(20 assists) | 10.Christian Nørgaard(19 assists)"
"top10","2026-11-14","England's most career goals (current squads)","1.Harry Kane(370 goals) | 2.Marcus Rashford(140 goals) | 3.Callum Wilson(137 goals) | 4.Jarrod Bowen(120 goals) | 5.Bukayo Saka(117 goals) | 6.Dominic Solanke(109 goals) | 7.Dominic Calvert-Lewin(109 goals) | 8.Danny Welbeck(90 goals) | 9.Jude Bellingham(85 goals) | 10.Phil Foden(85 goals)"
"top10","2026-11-15","England's highest market values (current squads)","1.Jude Bellingham(€180.0M) | 2.Bukayo Saka(€150.0M) | 3.Cole Palmer(€120.0M) | 4.Phil Foden(€110.0M) | 5.Declan Rice(€100.0M) | 6.Morgan Rogers(€80.0M) | 7.Elliot Anderson(€70.0M) | 8.Harry Kane(€65.0M) | 9.Adam Wharton(€61.7M) | 10.Morgan Gibbs-White(€60.0M)"
"top10","2026-11-16","Denmark's most career goals (current squads)","1.Andreas Albers(108 goals) | 2.Christian Eriksen(84 goals) | 3.Jens Stage(51 goals) | 4.Rasmus Højlund(42 goals) | 5.Gustav Isaksen(35 goals) | 6.Mikkel Damsgaard(31 goals) | 7.Mathias Jensen(29 goals) | 8.Mikkel Kaufmann(26 goals) | 9.Christian Nørgaard(24 goals) | 10.Conrad Harder(15 goals)"
"top10","2026-11-17","Brazil's highest market values (current squads)","1.Vinícius Júnior(€150.0M) | 2.Rodrygo(€80.0M) | 3.Bruno Guimarães(€80.0M) | 4.Gabriel Magalhães(€75.0M) | 5.João Pedro(€73.0M) | 6.Raphinha(€70.0M) | 7.Matheus Cunha(€68.0M) | 8.Gabriel Martinelli(€55.0M) | 9.Gleison Bremer(€54.0M) | 10.Savinho(€45.0M)"
"top10","2026-11-18","Midfielders' most career goals (current squads)","1.Thomas Müller(256 goals) | 2.Marco Reus(231 goals) | 3.Ángel Di María(195 goals) | 4.Hakan Çalhanoğlu(135 goals) | 5.Bruno Fernandes(132 goals) | 6.Mario Götze(116 goals) | 7.Bernardo Silva(116 goals) | 8.Kevin De Bruyne(115 goals) | 9.Henrikh Mkhitaryan(112 goals) | 10.Harry Wilson(112 goals)"
"top10","2026-11-19","Global's most career goals (current squads)","1.Cristiano Ronaldo(740 goals) | 2.Lionel Messi(735 goals) | 3.Robert Lewandowski(660 goals) | 4.Neymar(440 goals) | 5.Luis Suárez(426 goals) | 6.Karim Benzema(380 goals) | 7.Edinson Cavani(377 goals) | 8.Pierre-Emerick Aubameyang(374 goals) | 9.Harry Kane(370 goals) | 10.Kylian Mbappé(350 goals)"
"top10","2026-11-20","Germany's most career assists (current squads)","1.Thomas Müller(244 assists) | 2.Marco Reus(150 assists) | 3.Joshua Kimmich(130 assists) | 4.Leroy Sané(117 assists) | 5.Mario Götze(105 assists) | 6.Leon Goretzka(68 assists) | 7.Kai Havertz(65 assists) | 8.Deniz Undav(64 assists) | 9.Florian Wirtz(55 assists) | 10.Julian Brandt(55 assists)"
"top10","2026-11-21","Midfielders' highest market values (current squads)","1.Jude Bellingham(€180.0M) | 2.Florian Wirtz(€150.0M) | 3.Jamal Musiala(€130.0M) | 4.Vitinha(€130.0M) | 5.Pedri(€120.0M) | 6.Cole Palmer(€120.0M) | 7.Phil Foden(€110.0M) | 8.Declan Rice(€100.0M) | 9.Federico Valverde(€100.0M) | 10.Dominik Szoboszlai(€100.0M)"
"top10","2026-11-22","Belgium's most career goals (current squads)","1.Leandro Trossard(116 goals) | 2.Kevin De Bruyne(115 goals) | 3.Thorgan Hazard(80 goals) | 4.Charles De Ketelaere(70 goals) | 5.Youri Tielemans(57 goals) | 6.Johan Bakayoko(48 goals) | 7.Alexis Saelemaekers(29 goals) | 8.Mika Godts(26 goals) | 9.Jérémy Doku(22 goals) | 10.Malick Fofana(20 goals)"
"top10","2026-11-23","Forwards' most career goals (current squads)","1.Cristiano Ronaldo(740 goals) | 2.Lionel Messi(735 goals) | 3.Robert Lewandowski(660 goals) | 4.Neymar(440 goals) | 5.Luis Suárez(426 goals) | 6.Karim Benzema(380 goals) | 7.Edinson Cavani(377 goals) | 8.Pierre-Emerick Aubameyang(374 goals) | 9.Harry Kane(370 goals) | 10.Kylian Mbappé(350 goals)"
"top10","2026-11-24","Portugal's highest market values (current squads)","1.Vitinha(€130.0M) | 2.Rafael Leão(€80.0M) | 3.Nuno Mendes(€77.0M) | 4.João Neves(€74.0M) | 5.Rúben Dias(€70.0M) | 6.Bernardo Silva(€65.0M) | 7.Pedro Neto(€60.0M) | 8.Gonçalo Ramos(€55.0M) | 9.Bruno Fernandes(€50.0M) | 10.Matheus Nunes(€43.0M)"
"top10","2026-11-25","Croatia's most career goals (current squads)","1.Andrej Kramarić(231 goals) | 2.Nikola Vlašić(88 goals) | 3.Mario Pašalić(76 goals) | 4.Luka Modrić(50 goals) | 5.Lovro Majer(44 goals) | 6.Marin Ljubičić(32 goals) | 7.Mateo Kovačić(31 goals) | 8.Nikola Moro(24 goals) | 9.Martin Baturina(23 goals) | 10.Igor Matanović(22 goals)"
"top10","2026-11-26","France's most career goals (current squads)","1.Karim Benzema(380 goals) | 2.Kylian Mbappé(350 goals) | 3.Antoine Griezmann(280 goals) | 4.Jean-Philippe Mateta(140 goals) | 5.Christopher Nkunku(128 goals) | 6.Odsonne Édouard(122 goals) | 7.Marcus Thuram(112 goals) | 8.Ousmane Dembélé(110 goals) | 9.Ludovic Ajorque(104 goals) | 10.Randal Kolo Muani(75 goals)"
"top10","2026-11-27","Spain's most career assists (current squads)","1.Pedro(111 assists) | 2.Alejandro Grimaldo(103 assists) | 3.Mikel Merino(79 assists) | 4.Mikel Oyarzabal(76 assists) | 5.Lucas Vázquez(68 assists) | 6.Isco(60 assists) | 7.Dani Olmo(45 assists) | 8.Sergio Ramos(45 assists) | 9.Álex Berenguer(45 assists) | 10.Ferran Torres(43 assists)"
"top10","2026-11-28","Goalkeepers' highest market values (current squads)","1.Lucas Chevalier(€54.0M) | 2.Gianluigi Donnarumma(€42.0M) | 3.Gregor Kobel(€38.6M) | 4.Bart Verbruggen(€38.0M) | 5.Mile Svilar(€37.0M) | 6.David Raya(€34.0M) | 7.James Trafford(€30.0M) | 8.Giorgi Mamardashvili(€27.0M) | 9.Jordan Pickford(€25.0M) | 10.Mike Maignan(€23.8M)"
